restaurant,feedback,NEUTRAL,POSITIVE,NEGATIVE
Вкусовой эпицентр,Быстрое обслуживание и вкусная кухня.,0.0,0.9819929599761963,0.0
Вкусовой эпицентр,Разнообразное меню и приятная атмосфера.,0.0,0.8447861075401306,0.0
Вкусовой эпицентр,Превосходное качество еды и порции великолепные.,0.0,0.9921368360519409,0.0
Вкусовой эпицентр,"Обязательно вернусь сюда снова, чтобы попробовать другие блюда.",0.0,0.6655706167221069,0.0
Вкусовой эпицентр,Приветливый персонал и отличные рекомендации.,0.0,0.9924426674842834,0.0
Вкусовой эпицентр,Здесь всегда уютно и комфортно.,0.0,0.9670772552490234,0.0
Вкусовой эпицентр,Идеальное место для особого случая или романтического ужина.,0.0,0.9667301177978516,0.0
Вкусовой эпицентр,Порадовало качество продуктов и необычные сочетания в меню.,0.0,0.6535528302192688,0.0
Вкусовой эпицентр,Цены соответствуют качеству и размеру порций.,0.5674582719802856,0.0,0.0
Вкусовой эпицентр,Прекрасное место для проведения деловых обедов и встреч с друзьями.,0.0,0.9914937019348145,0.0
Вкусовой эпицентр,Завтрак здесь просто потрясающий!,0.0,0.9879656434059143,0.0
Вкусовой эпицентр,Отличное сочетание вкусов и оригинальное оформление блюд.,0.0,0.9917804598808289,0.0
Вкусовой эпицентр,Рекомендую попробовать авторские коктейли!,0.0,0.9844931364059448,0.0
Вкусовой эпицентр,Уютный интерьер и мягкая музыка создают расслабляющую обстановку.,0.0,0.964749276638031,0.0
Вкусовой эпицентр,Приятное место для небольших групповых мероприятий.,0.0,0.973209798336029,0.0
Вкусовой эпицентр,Идеальное соотношение цены и качества.,0.0,0.988520085811615,0.0
Вкусовой эпицентр,"Отличное обслуживание, а также учтены все пожелания.",0.0,0.9947920441627502,0.0
Вкусовой эпицентр,Вкусные и сытные завтраки.,0.0,0.9941950440406799,0.0
Вкусовой эпицентр,Паста здесь просто невероятна!,0.0,0.5985121726989746,0.0
Вкусовой эпицентр,Свежие и качественные ингредиенты в каждом блюде.,0.0,0.9841777086257935,0.0
Вкусовой эпицентр,Приятная атмосфера для ужинов с семьей.,0.0,0.9914694428443909,0.0
Вкусовой эпицентр,Вежливый и профессиональный персонал.,0.0,0.9228255748748779,0.0
Вкусовой эпицентр,Рекомендую забронировать столик заранее.,0.0,0.8167378306388855,0.0
Вкусовой эпицентр,Интересные акции и специальные предложения.,0.0,0.7307027578353882,0.0
Вкусовой эпицентр,"Вкусные десерты, особенно торт ""Наполеон"".",0.0,0.9919448494911194,0.0
Вкусовой эпицентр,Удобное расположение и парковка поблизости.,0.0,0.8953365683555603,0.0
Вкусовой эпицентр,Большой выбор вегетарианской и веганской еды.,0.8360373377799988,0.0,0.0
Вкусовой эпицентр,Отличные закуски и аппетитные блюда.,0.0,0.9920158386230469,0.0
Вкусовой эпицентр,Разнообразие напитков и коктейлей.,0.8346961736679077,0.0,0.0
Вкусовой эпицентр,Отличный выбор блюд и прекрасный сервис!,0.0,0.989934504032135,0.0
Вкусовой эпицентр,Быстрое обслуживание и вкусная кухня.,0.0,0.9819929599761963,0.0
Вкусовой эпицентр,Разнообразное меню и приятная атмосфера.,0.0,0.8447861075401306,0.0
Вкусовой эпицентр,Превосходное качество еды и порции великолепные.,0.0,0.9921368360519409,0.0
Вкусовой эпицентр,"Обязательно вернусь сюда снова, чтобы попробовать другие блюда.",0.0,0.6655706167221069,0.0
Вкусовой эпицентр,Приветливый персонал и отличные рекомендации.,0.0,0.9924426674842834,0.0
